tool	metric	seq_type	n	mean	median	q95	q99	max	frac_zero	frac_gt_10	frac_gt_50
CheckAMG_all	clan	metagenome	100000	0.5292	0.0	2.0	3.0	35	0.59313	0.00005	0.0
CheckAMG_all	clan	viral_genome	100000	0.55845	0.0	2.0	3.0	65	0.56168	0.00039	0.00001
CheckAMG_all	clan	virome	100000	0.78009	1.0	2.0	4.0	40	0.4239	0.00011	0.0
CheckAMG_all	pfam	metagenome	2128238	0.8672765921856485	0.0	4.0	8.0	115	0.5942117375970168	0.005130065340436549	0.000032891058236907715
CheckAMG_all	pfam	viral_genome	200893	0.7690710975494417	0.0	3.0	6.0	68	0.5611395120785692	0.0021155540511615637	4.977774238027208e-6
CheckAMG_all	pfam	virome	2327154	1.3533474793675022	1.0	5.0	10.0	116	0.42283235230672317	0.009001123260428833	0.000034806463173472834
CheckAMG_keep	clan	metagenome	100000	0.19689	0.0	1.0	1.0	2	0.80588	0.0	0.0
CheckAMG_keep	clan	viral_genome	100000	0.15879	0.0	1.0	1.0	2	0.84176	0.0	0.0
CheckAMG_keep	clan	virome	100000	0.32919	0.0	1.0	1.0	3	0.67615	0.0	0.0
CheckAMG_keep	pfam	metagenome	2128238	0.20962505133354445	0.0	1.0	2.0	29	0.8066066859063695	0.00003665003632112574	0.0
CheckAMG_keep	pfam	viral_genome	200893	0.1616532183799336	0.0	1.0	1.0	8	0.8409700686435068	0.0	0.0
CheckAMG_keep	pfam	virome	2327154	0.35208155541060027	0.0	1.0	2.0	47	0.6778696210048841	0.00005758106253389333	0.0
DRAM-V	clan	metagenome	100000	211.06233	226.0	245.0	252.0	275	0.00005	0.99922	0.98594
DRAM-V	clan	viral_genome	100000	213.76201	228.0	245.0	252.0	271	0.00006	0.99963	0.9934
DRAM-V	clan	virome	100000	212.98872	226.0	244.0	251.0	273	0.00007	0.99905	0.98667
DRAM-V	pfam	metagenome	2128238	265.5861233565043	290.0	295.0	297.0	300	0.00005356543770010685	0.9992472646386353	0.9878312481968652
DRAM-V	pfam	viral_genome	200893	267.35395957051765	289.0	295.0	297.0	300	0.00006968883933238092	0.999631644706386	0.9941760041415082
DRAM-V	pfam	virome	2327154	269.9156175311131	290.0	295.0	297.0	300	0.00005285425889305134	0.9991947245433693	0.9884876548780184
hmmscan_cutga	pfam	metagenome	1214301	1.0527678063346733	0.0	4.0	8.0	58	0.5072943199420902	0.0035172498416784635	3.2940761804527873e-6
hmmscan_cutga	pfam	viral_genome	169015	0.4065792976954708	0.0	2.0	3.0	30	0.691222672543857	0.00010649942312812473	0.0
hmmscan_cutga	pfam	virome	1100713	1.2064343748097823	1.0	5.0	8.0	55	0.44133302686531367	0.004287221101231656	2.725506103770919e-6
hmmscan_default	pfam	metagenome	1214301	4.376749257391701	2.0	16.0	31.0	360	0.17816175725787922	0.10186354124718665	0.0019723281130461065
hmmscan_default	pfam	viral_genome	169015	2.3175931130373044	1.0	8.0	20.0	219	0.29473123687246694	0.03438748040114783	0.0010294944235718724
hmmscan_default	pfam	virome	1100713	4.202664091366232	2.0	16.0	32.0	404	0.18478931383566832	0.0992047881691231	0.0020023384842370357
